005F;Pc
00AA;Lo
00AD;Cf
00BA;Lo
01BB;Lo
01C0;Lo
01C1;Lo
01C2;Lo
01C3;Lo
0294;Lo
05D0;Lo
05D1;Lo
05D2;Lo
05D3;Lo
05D4;Lo
05D5;Lo
05D6;Lo
05D7;Lo
05D8;Lo
05D9;Lo
05DA;Lo
05DB;Lo
05DC;Lo
05DD;Lo
05DE;Lo
05DF;Lo
05E0;Lo
05E1;Lo
05E2;Lo
05E3;Lo
05E4;Lo
05E5;Lo
05E6;Lo
05E7;Lo
05E8;Lo
05E9;Lo
05EA;Lo
05F0;Lo
05F1;Lo
05F2;Lo
0600;Cf
0601;Cf
0602;Cf
0603;Cf
0604;Cf
0605;Cf
061C;Cf
0620;Lo
0621;Lo
0622;Lo
0623;Lo
0624;Lo
0625;Lo
0626;Lo
0627;Lo
0628;Lo
0629;Lo
062A;Lo
062B;Lo
062C;Lo
062D;Lo
062E;Lo
062F;Lo
0630;Lo
0631;Lo
0632;Lo
0633;Lo
0634;Lo
0635;Lo
0636;Lo
0637;Lo
0638;Lo
0639;Lo
063A;Lo
063B;Lo
063C;Lo
063D;Lo
063E;Lo
063F;Lo
0641;Lo
0642;Lo
0643;Lo
0644;Lo
0645;Lo
0646;Lo
0647;Lo
0648;Lo
0649;Lo
064A;Lo
066E;Lo
066F;Lo
0671;Lo
0672;Lo
0673;Lo
0674;Lo
0675;Lo
0676;Lo
0677;Lo
0678;Lo
0679;Lo
067A;Lo
067B;Lo
067C;Lo
067D;Lo
067E;Lo
067F;Lo
0680;Lo
0681;Lo
0682;Lo
0683;Lo
0684;Lo
0685;Lo
0686;Lo
0687;Lo
0688;Lo
0689;Lo
068A;Lo
068B;Lo
068C;Lo
068D;Lo
068E;Lo
068F;Lo
0690;Lo
0691;Lo
0692;Lo
0693;Lo
0694;Lo
0695;Lo
0696;Lo
0697;Lo
0698;Lo
0699;Lo
069A;Lo
069B;Lo
069C;Lo
069D;Lo
069E;Lo
069F;Lo
06A0;Lo
06A1;Lo
06A2;Lo
06A3;Lo
06A4;Lo
06A5;Lo
06A6;Lo
06A7;Lo
06A8;Lo
06A9;Lo
06AA;Lo
06AB;Lo
06AC;Lo
06AD;Lo
06AE;Lo
06AF;Lo
06B0;Lo
06B1;Lo
06B2;Lo
06B3;Lo
06B4;Lo
06B5;Lo
06B6;Lo
06B7;Lo
06B8;Lo
06B9;Lo
06BA;Lo
06BB;Lo
06BC;Lo
06BD;Lo
06BE;Lo
06BF;Lo
06C0;Lo
06C1;Lo
06C2;Lo
06C3;Lo
06C4;Lo
06C5;Lo
06C6;Lo
06C7;Lo
06C8;Lo
06C9;Lo
06CA;Lo
06CB;Lo
06CC;Lo
06CD;Lo
06CE;Lo
06CF;Lo
06D0;Lo
06D1;Lo
06D2;Lo
06D3;Lo
06D5;Lo
06DD;Cf
06EE;Lo
06EF;Lo
06FA;Lo
06FB;Lo
06FC;Lo
06FF;Lo
070F;Cf
0710;Lo
0712;Lo
0713;Lo
0714;Lo
0715;Lo
0716;Lo
0717;Lo
0718;Lo
0719;Lo
071A;Lo
071B;Lo
071C;Lo
071D;Lo
071E;Lo
071F;Lo
0720;Lo
0721;Lo
0722;Lo
0723;Lo
0724;Lo
0725;Lo
0726;Lo
0727;Lo
0728;Lo
0729;Lo
072A;Lo
072B;Lo
072C;Lo
072D;Lo
072E;Lo
072F;Lo
074D;Lo
074E;Lo
074F;Lo
0750;Lo
0751;Lo
0752;Lo
0753;Lo
0754;Lo
0755;Lo
0756;Lo
0757;Lo
0758;Lo
0759;Lo
075A;Lo
075B;Lo
075C;Lo
075D;Lo
075E;Lo
075F;Lo
0760;Lo
0761;Lo
0762;Lo
0763;Lo
0764;Lo
0765;Lo
0766;Lo
0767;Lo
0768;Lo
0769;Lo
076A;Lo
076B;Lo
076C;Lo
076D;Lo
076E;Lo
076F;Lo
0770;Lo
0771;Lo
0772;Lo
0773;Lo
0774;Lo
0775;Lo
0776;Lo
0777;Lo
0778;Lo
0779;Lo
077A;Lo
077B;Lo
077C;Lo
077D;Lo
077E;Lo
077F;Lo
0780;Lo
0781;Lo
0782;Lo
0783;Lo
0784;Lo
0785;Lo
0786;Lo
0787;Lo
0788;Lo
0789;Lo
078A;Lo
078B;Lo
078C;Lo
078D;Lo
078E;Lo
078F;Lo
0790;Lo
0791;Lo
0792;Lo
0793;Lo
0794;Lo
0795;Lo
0796;Lo
